id,text,file,node,lineNumber
line:06f0f81,Pol: ¿Qué ha pasado? Apenas recuerdo nada...,Introduccion,Despertando,3
line:0c818b5,Pol: ¿Mmmm?,Introduccion,Despertando,4
line:0143081,Pol: ¡Eeh! ¿Quién eres? ¿Adonde vas?,Introduccion,Despertando,5
line:00f1b7d,"Yell: Oye, se ha ido un tutti colina arriba.",Introduccion,Introduccion,14
line:0e17415,"Yell: Salía de tu cubitera, parecía ir con prisa.",Introduccion,Introduccion,16
line:09106ac,Pol: ¿De verdad? Mmm...,Introduccion,Introduccion,18
line:08c1a13,Pol: (Debería ver dónde ha ido),Introduccion,Introduccion,20
line:01b8985,Pol: (sigue siendo mejor plan que ir a trabajar),Introduccion,Introduccion,21
line:0b5d637,"Yell: No he visto mucho más, lo siento",Introduccion,Introduccion,25
line:0b2c653,Pol: (Debería ver dónde ha ido),Introduccion,Introduccion,27
line:03f7eaa,"Pol: Disculpe, ¿ha visto…?",Introduccion,Albert,35
line:040ab77,Albert: ¿Que si he visto qué? No sé de qué me estás hablando.,Introduccion,Albert,37
line:047213d,Pol: Que si ha visto un polo…,Introduccion,Albert,38
line:0c682e9,Albert: ¿Un polo? Yo no sé de polos. Salvo que yo soy uno. O eso creo.,Introduccion,Albert,40
line:02600fd,Albert: Deberías preguntarle a ese de ahí. Puede que sepa algo. O no.,Introduccion,Albert,42
line:0416979,Pol: Emm.. gracias.,Introduccion,Albert,44
line:006f3e2,"Pol: Disculpe, ¿ha visto por casualidad a un polo blanco con tropezones de fruta pasar por aquí?",Introduccion,Ramon,51
line:004e9d7,"Ramón: Sí, iba con mucha prisa en esa dirección.",Introduccion,Ramon,53
line:0aadab1,Ramón: Me pregunto qué le ocurrirá. Nunca lo había visto por aquí.,Introduccion,Ramon,55
line:0789bc5,Pol: Muchas gracias.,Introduccion,Ramon,57
