id,text,file,node,lineNumber
line:0b32ab2,"Instagramo: Well, let's see what others are saying",Extras,Instagramo,3
line:03590b8,Instagramo: It looks like this machine is not working,Extras,Instagramo,6
line:0ac1e4d,Instagramo: It looks like they don't have anything to say,Extras,Instagramo,8
line:00753fa,"Instagramo: Well, that was everything",Extras,Instagramo,10
line:0258c5c,Options: What do you want to know?,Extras,Options,16
line:0c10584,"google, search, result, suggestion, yahoo",Extras,Options,17
line:0a606a2,"japan, cartoon, anime, dragon ball",Extras,Options,18
line:098fd04,default,Extras,Options,19
line:0484e26,You wanna know about Google.,Extras,Google,24
line:025c4fb,You wanna know about Anime.,Extras,Anime,28
line:0e94312,I don't understand what you want.,Extras,DefaultOption,32
