id,text,file,node,lineNumber
line:0ce2873,Pol: Buenos días.,Lv2,Alfrio,4
line:085810d,Alfrio: Adónde te crees que vas? Esta es mi calle.,Lv2,Alfrio,7
line:0a73d15,Pol: ¿Qué calle? Si es un pasillo de nieve.,Lv2,Alfrio,8
line:03fbea7,"Alfrio: Y encima me vacilas, ahora sí que no dejo pasar a nadie más.",Lv2,Alfrio,11
line:0b247be,"Pol: Cómo que a <i>nadie</i> más, ¿quién ha pasado por aquí?",Lv2,Alfrio,12
line:0a1453b,"Alfrio: Ahora te interesas, pues era un pequeño tutti.",Lv2,Alfrio,14
line:0a1f9f8,Alfrio: Una pena que no puedas pasar para seguirlo...,Lv2,Alfrio,16
line:0a3f2df,Pol: (No creo que se mueva sin motivo),Lv2,Alfrio,17
line:081f9c6,"Alfrio: Ese tutti me ha dado hambre, pero claro, no me puedo mover de aquí",Lv2,Alfrio,20
line:07bb98b,Pol: He pensado que esto te gustaría.,Lv2,Alfrio,24
line:0541d96,Alfrio: Pero si son...,Lv2,Alfrio,26
line:05e33d3,"Alfrio: ¿Cómo lo has conseguido...? Da igual, me voy al parque a saborear esta delicia.",Lv2,Alfrio,28
line:05cbaba,Pol: Buenos días.,Lv2,Alof,38
line:071eb8c,Pol: Huele muy bien por aquí.,Lv2,Alof,39
line:0db8fc7,"Alof: Gracias, son mis confituras heladas.",Lv2,Alof,41
line:04f47b9,"Alof: Eso sí, no están a la venta, son sólo para mis nietos.",Lv2,Alof,43
line:030690b,Pol: (Esas confituras pintan bien),Lv2,Alof,45
line:092a3e0,Alof: Esa confitura es de una textura y calidad muy similar a la mía.,Lv2,Alof,50
line:071b0a7,"Alof: ¿Acaso alguien me está copiando la fórmula, chico?",Lv2,Alof,52
line:0dba937,Pol: (...),Lv2,Alof,53
line:048ad47,"Pol: Quiénes eran tus nietos, por cierto?",Lv2,Alof,57
line:066a48f,"Alof: Seguro que los has visto, mi Alfrio siempre anda por <i>su</i> calle.",Lv2,Alof,59
line:0732327,"Alof: Mi pequeño azul Fries siempre está metido en problemas, no sé dónde estará ahora.",Lv2,Alof,61
line:036fd9f,"Fries: Dejadme en paz, sólo quería ir a ver a mis amigos.",Lv2,Fries,71
line:0661946,"Guardia: Vamos, dinos dónde guardas tu comida.",Lv2,Fries,74
line:0d90f30,"Fries: No es vuestra, nunca os lo diré.",Lv2,Fries,76
line:0c7061f,"Guardia: ¿Tienes algún problema, rojito?.",Lv2,Fries,82
line:059ad0b,"Pol: No, no, nada, solo pasaba por aquí.",Lv2,Fries,86
line:01b008a,Pol: La verdad es que parece que hay algún problema en la nevera...,Lv2,Fries,89
line:0e2a96b,Pol: Algo que ver con las <b>raciones</b>.,Lv2,Fries,90
line:03ad173,Guardia: ¿Las raciones? ¡¿Mis <b>raciones</b>?!,Lv2,Fries,92
line:0ecd666,"Guardia: Otra vez tocando mis cosas, se lo tengo dicho muchas veces.",Lv2,Fries,94
line:017d6f2,"Guardia: No os mováis de aquí, ahora vuelvo.",Lv2,Fries,95
line:0ce62fc,Pol: (Uff),Lv2,Fries,97
line:0e7adc3,Fries: Gracias por quitármelo de encima.,Lv2,Fries,99
line:02d4545,Fries: Ya no puedo salir de casa con mis confituras sin que me moleste.,Lv2,Fries,101
line:0984195,"Fries: Las tengo bien guardadas, pero te voy a dar una por ayudarme.",Lv2,Fries,103
line:000ecd0,"Pol: ¿De verdad? Vaya, gracias, las dejas en buenas manos.",Lv2,Fries,105
line:094d97e,"Pol: Buenos días, guardia. ¿Alguna novedad?",Lv2,GuardiaNevera,113
line:0253dad,Guardia: No que yo sepa.,Lv2,GuardiaNevera,115
line:0840704,Pol: ¿Por casualidad ha visto pasar a algún tutti por aquí?,Lv2,GuardiaNevera,116
line:09d769a,Guardia: ¿Un tutti dices? No quiero saber nada de ellos...,Lv2,GuardiaNevera,118
line:084fa1c,Pol: ¿Qué han hecho esta vez?,Lv2,GuardiaNevera,119
line:089304b,Guardia: ¿Por qué crees que han hecho algo? Nuestras raciones están sanas y salvas...,Lv2,GuardiaNevera,121
line:056bd1b,Guardia: Nunca las hemos perdido de vista...,Lv2,GuardiaNevera,123
line:01a67f2,"Guardia: Están por aquí, sí, sí...",Lv2,GuardiaNevera,125
line:02fd95b,Pol: (Esto huele a cubito encerrado),Lv2,GuardiaNevera,126
line:0361dd5,"Guardia: No hemos perdido nada, y mucho menos nuestras raciones...",Lv2,GuardiaNevera,129
line:092dbe2,"Pol: Nunca dudo de vuestra competencia, señor.",Lv2,GuardiaNevera,131
line:0a9e83e,Ele: ¡Vaya salto ha dado! No sabia que se podía hacer eso,Lv2,Ele,139
line:0fc0906,Pol: (Tendré que buscar otra forma de llegar al otro lado),Lv2,Ele,140
